document	level	heading	start_line	end_line	words
AGENTS.md	1	SilksongUnity6 reference project	1	11	169
Docs/AgentReference/00_RETRIEVAL.md	1	00 — Retrieval and evidence tracing	1	205	2416
Docs/AgentReference/00_RETRIEVAL.md	2	1. Retrieval order and context budget	5	16	177
Docs/AgentReference/00_RETRIEVAL.md	2	2. Appendix schemas	17	51	646
Docs/AgentReference/00_RETRIEVAL.md	2	3. Find a class or method	52	73	99
Docs/AgentReference/00_RETRIEVAL.md	2	4. From script to a real scene object	74	102	128
Docs/AgentReference/00_RETRIEVAL.md	2	5. Resolve an external reference and find its consumers	103	127	293
Docs/AgentReference/00_RETRIEVAL.md	2	6. Trace one PlayMaker machine	128	145	309
Docs/AgentReference/00_RETRIEVAL.md	2	7. Search by a runtime string	146	155	87
Docs/AgentReference/00_RETRIEVAL.md	2	7A. Three exercised end-to-end retrieval examples	156	190	353
Docs/AgentReference/00_RETRIEVAL.md	3	Sprint: instance → external template → real entry state	158	167	75
Docs/AgentReference/00_RETRIEVAL.md	3	Ordinary slash: selected object → library → clip → frame → atlas	168	180	171
Docs/AgentReference/00_RETRIEVAL.md	3	Room exit: both gates + Addressable + custom entry behavior	181	190	100
Docs/AgentReference/00_RETRIEVAL.md	2	8. Freshness and maintenance	191	205	220
Docs/AgentReference/05_DIRECTORY_ATLAS.md	1	05 — Physical directory atlas	1	143	1200
Docs/AgentReference/05_DIRECTORY_ATLAS.md	2	Source roots	5	19	144
Docs/AgentReference/05_DIRECTORY_ATLAS.md	2	Curated game categories	20	41	127
Docs/AgentReference/05_DIRECTORY_ATLAS.md	2	Scene-name families	42	101	428
Docs/AgentReference/05_DIRECTORY_ATLAS.md	2	Resource kinds	102	135	351
Docs/AgentReference/05_DIRECTORY_ATLAS.md	2	Configuration and derived material	136	143	116
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	1	Player, movement, attacks, damage, enemy and boss reference	1	453	7419
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	1. Retrieval map	7	43	499
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	Source path dictionary	31	43	81
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	2. Actual hero composition and initialization contract	44	77	576
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	Control handoff is an API contract	72	77	127
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	3. Movement and input semantics	78	139	1169
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	3.1 Input and clocks	80	89	269
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	3.2 Run/jump/double jump	90	99	248
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	3.3 Dash versus sprint	100	107	200
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	3.4 Walls, ledges, ground contacts	108	117	215
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	3.5 Baseline tuning values (not a universal profile)	118	139	231
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	2	4. Config-driven attacks, crests, tools and silk	140	213	1177
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	4.1 Configs change behavior, objects and animation lookup	142	162	365
Docs/AgentReference/10_PLAYER_AND_COMBAT.md	3	4.2 Normal slash chain	163	189	231
