document	source
AGENTS.md	Docs/AgentReference/90_COVERAGE_AND_LIMITS.md
Docs/AgentReference/00_RETRIEVAL.md	Assets/Animations/Knight.prefab
Docs/AgentReference/00_RETRIEVAL.md	Assets/Collections/Knight Data/Knight.prefab
Docs/AgentReference/00_RETRIEVAL.md	Docs/AgentReference/data/
Docs/AgentReference/00_RETRIEVAL.md	Docs/CombatResearch/data/catalog.json
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Editor/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/PlayMaker/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Plugins/
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Cinematic_Ending_A.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Data/PermaDeath.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Demo_Scene.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/End_Credits.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Abandoned_town.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Abyss_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Ant_02.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Aqueduct_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Arborium_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Aspid_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Bellshrine.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Belltown.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Bellway_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Bone_01.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Bonegrave.unity
Docs/AgentReference/05_DIRECTORY_ATLAS.md	Assets/Scenes/Hornet/Bonetown.unity
