action_type	serialized_occurrences	source_candidates	resolution
	10	[]	no_loose_source_match
AddHP	71	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/AddHP.cs""]"	short_name_candidate
AnimatorGroupPlay	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatorGroupPlay.cs""]"	short_name_candidate
CameraRepositionToHero	1	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CameraRepositionToHero.cs""]"	short_name_candidate
CancelDoQueuedSaveGame	3	"[""Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression/CancelDoQueuedSaveGame.cs""]"	exact_declared_type
CheckAlertRange	2703	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckAlertRange.cs""]"	exact_declared_type
CheckAlertRangeByName	14573	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckAlertRangeByName.cs""]"	exact_declared_type
CheckCanSeeHero	252	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckCanSeeHero.cs""]"	exact_declared_type
CheckCurrentMapZone	284	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckCurrentMapZone.cs""]"	exact_declared_type
CheckCurrentMapZoneEnum	472	"[""Assets/Scripts/Assembly-CSharp/CheckCurrentMapZoneEnum.cs""]"	exact_declared_type
CheckHasVisitedScene	3	"[""Assets/Scripts/Assembly-CSharp/CheckHasVisitedScene.cs""]"	exact_declared_type
CheckIsCharacterGrounded	2358	"[""Assets/Scripts/Assembly-CSharp/CheckIsCharacterGrounded.cs""]"	exact_declared_type
CheckIsFirstLevelForPlayer	468	"[""Assets/Scripts/Assembly-CSharp/CheckIsFirstLevelForPlayer.cs""]"	exact_declared_type
CheckIsRespawningOnMarker	1	"[""Assets/Scripts/Assembly-CSharp/CheckIsRespawningOnMarker.cs""]"	exact_declared_type
CheckLineOfSight	9	"[""Assets/Scripts/Assembly-CSharp/CheckLineOfSight.cs""]"	exact_declared_type
CheckSceneName	171	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckSceneName.cs""]"	exact_declared_type
CheckSendEventLimit	15	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/General/CheckSendEventLimit.cs""]"	exact_declared_type
CheckStartedOnThisScene	1	"[""Assets/Scripts/Assembly-CSharp/CheckStartedOnThisScene.cs""]"	exact_declared_type
CheckStaticBool	18	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/General/CheckStaticBool.cs""]"	exact_declared_type
CheckTrackTriggerCount	6	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/CheckTrackTriggerCount.cs""]"	short_name_candidate
CompareUnalertTime	60	"[""Assets/Scripts/Assembly-CSharp/CompareUnalertTime.cs""]"	exact_declared_type
CompleteJournalRecord	7	"[""Assets/Scripts/Assembly-CSharp/CompleteJournalRecord.cs""]"	exact_declared_type
CompleteJournalRecordV2	1	"[""Assets/Scripts/Assembly-CSharp/CompleteJournalRecordV2.cs""]"	exact_declared_type
CreateAutoSaveSilent	1	"[""Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression/CreateAutoSaveSilent.cs""]"	exact_declared_type
DestroyPersonalPools	1	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/DestroyPersonalPools.cs""]"	exact_declared_type
DoGameMapUpdate	2	"[""Assets/Scripts/Assembly-CSharp/DoGameMapUpdate.cs""]"	exact_declared_type
DoNotSpawnCorpse	21	"[""Assets/Scripts/Assembly-CSharp/DoNotSpawnCorpse.cs""]"	exact_declared_type
DoQueuedSaveGame	16	"[""Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression/DoQueuedSaveGame.cs""]"	exact_declared_type
EnemyDeathEffectsRegular+SimulateDeath	856	"[""Assets/Scripts/Assembly-CSharp/EnemyDeathEffectsRegular.cs""]"	exact_declared_nested_type
EnemyDeathEffectsRegular+SimulateDeathNoCorpse	31	"[""Assets/Scripts/Assembly-CSharp/EnemyDeathEffectsRegular.cs""]"	exact_declared_nested_type
EnemyDeathEffectsRegular+SimulateDeathV2	1	"[""Assets/Scripts/Assembly-CSharp/EnemyDeathEffectsRegular.cs""]"	exact_declared_nested_type
FadeColorFader	247	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/FadeColorFader.cs""]"	exact_declared_type
FadeGroupDown	94	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/FadeGroupDown.cs""]"	exact_declared_type
FadeGroupUp	14	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/FadeGroupUp.cs""]"	exact_declared_type
FadeNestedFadeGroup	1	[]	no_loose_source_match
FindAlertRange	1116	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/FindAlertRange.cs""]"	exact_declared_type
FloatLerp	6	"[""Assets/Scripts/Assembly-CSharp/FloatLerp.cs""]"	exact_declared_type
FreezeMoment	14	"[""Assets/Scripts/Assembly-CSharp/FreezeMoment.cs""]"	exact_declared_type
FreezeMomentV2	28	"[""Assets/Scripts/Assembly-CSharp/FreezeMomentV2.cs""]"	exact_declared_type
GGCheckBoundHeart	2	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight_GG/GGCheckBoundHeart.cs""]"	exact_declared_type
GGCheckIsBossRushMode	1	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight_GG/GGCheckIsBossRushMode.cs""]"	exact_declared_type
GetConstantsValue	133	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/GetConstantsValue.cs""]"	exact_declared_type
GetCrawlerType	26	"[""Assets/Scripts/Assembly-CSharp/GetCrawlerType.cs""]"	exact_declared_type
GetDamagerDirection	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/GetDamagerDirection.cs""]"	short_name_candidate
GetEntryGateName	75	"[""Assets/Scripts/Assembly-CSharp/GetEntryGateName.cs""]"	exact_declared_type
GetHP	13	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/GetHP.cs""]"	short_name_candidate
GetHero	489	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/GetHero.cs""]"	exact_declared_type
GetJournalKillData	1	"[""Assets/Scripts/Assembly-CSharp/GetJournalKillData.cs""]"	exact_declared_type
GetLanguageStringProcessed	13	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Game_Text/GetLanguageStringProcessed.cs""]"	exact_declared_type
GetPersistentBool	4	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/GetPersistentBool.cs""]"	short_name_candidate
GetPreInstantiatedGameObject	5	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/General/GetPreInstantiatedGameObject.cs""]"	exact_declared_type
GetRespawningHero	5	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/GetRespawningHero.cs""]"	exact_declared_type
GetStaticVariable	15	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/General/GetStaticVariable.cs""]"	exact_declared_type
GetUnalertTime	37	"[""Assets/Scripts/Assembly-CSharp/GetUnalertTime.cs""]"	exact_declared_type
GetWalkerSpeed	6	"[""Assets/Scripts/Assembly-CSharp/GetWalkerSpeed.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AccelerateToX	911	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AccelerateToX.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AccelerateToXByScale	95	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AccelerateToXByScale.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AccelerateToY	1033	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AccelerateToY.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AccelerateVelocity	9	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AccelerateVelocity.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateAllChildren	1749	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateAllChildren.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateAllChildrenV2	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateAllChildrenV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateBoxCollider2D	114	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateBoxCollider2D.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateGameObject	60938	"[""Assets/PlayMaker/Actions/GameObject/ActivateGameObject.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateGameObjectDelay	1202	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateGameObjectDelay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateInteractible	2975	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateInteractible.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateInteraction	24	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateInteraction.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateInventoryPaneInput	20	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateInventoryPaneInput.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateLookAnimNPC	716	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateLookAnimNPC.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateNPCFlyAroundTalking	17	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateNPCFlyAroundTalking.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateTalkAnimNPC	96	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateTalkAnimNPC.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ActivateWorldRumble	26	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ActivateWorldRumble.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddComponent	69	"[""Assets/PlayMaker/Actions/GameObject/AddComponent.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddCurrency	4	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddCurrency.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddEventRegister	839	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/AddEventRegister.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddForce2d	939	"[""Assets/PlayMaker/Actions/Physics2D/AddForce2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddForce2dAsAngle	25	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AddForce2dAsAngle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddForce2dConditional	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddForce2dConditional.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddHP	490	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/AddHP.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddHeroInputBlocker	313	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddHeroInputBlocker.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddMemoryMsg	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddMemoryMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddNeedolinMsg	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddNeedolinMsg.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddPersonalObjectPool	120	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddPersonalObjectPool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddScenesMapped	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddScenesMapped.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddScenesVisited	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddScenesVisited.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddSilk	132	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddSilk.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddSilkV2	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddSilkV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddSpawnedToQueueGroup	1	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddSpawnedToQueueGroup.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddStatusVignetteStatus	96	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddStatusVignetteStatus.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddTempStatusVignette	96	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddTempStatusVignette.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddTorque2d	119	"[""Assets/PlayMaker/Actions/Physics2D/AddTorque2d.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddTrackTrigger	1	"[""Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight/AddTrackTrigger.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AddUsingSilk	28	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AddUsingSilk.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AdjustColliderPosToEdge	15	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AdjustColliderPosToEdge.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AdjustColliderPosToEdgeV2	2	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AdjustColliderPosToEdgeV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AllowMantle	8	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AllowMantle.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateFloat	1	"[""Assets/PlayMaker/Actions/AnimateVariables/AnimateFloat.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatePositionBy	3343	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatePositionBy.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatePositionTo	1976	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatePositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatePositionToV2	78	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatePositionToV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateRigidBody2DPositionTo	106	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateRigidBody2DPositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateRigidBody2DPositionToV2	53	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateRigidBody2DPositionToV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateRigidBodyYPositionTo	30	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateRigidBodyYPositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateRotationTo	772	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateRotationTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateRotationToV2	241	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateRotationToV2.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateScaleTo	6	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateScaleTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateXPositionTo	239	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateXPositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateYPositionTo	468	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateYPositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimateZPositionTo	192	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimateZPositionTo.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorGroupPlay	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatorGroupPlay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorGroupSetBool	7	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatorGroupSetBool.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorPauseAtTime	12	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AnimatorPauseAtTime.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorPlay	1741	"[""Assets/PlayMaker/Actions/Animator/AnimatorPlay.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorPlayStateWait	262	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/AnimatorPlayStateWait.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorStartPlayback	2	"[""Assets/PlayMaker/Actions/Animator/AnimatorStartPlayback.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.AnimatorStopPlayback	163	"[""Assets/PlayMaker/Actions/Animator/AnimatorStopPlayback.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyAtmosCue	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ApplyAtmosCue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyMusicCue	372	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/ApplyMusicCue.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ApplyMusicSnapshot	3	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/ApplyMusicSnapshot.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayAdd	21	"[""Assets/PlayMaker/Actions/Array/ArrayAdd.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayClear	2	"[""Assets/PlayMaker/Actions/Array/ArrayClear.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayContains	1	"[""Assets/PlayMaker/Actions/Array/ArrayContains.cs""]"	exact_declared_type
HutongGames.PlayMaker.Actions.ArrayGet	42	"[""Assets/PlayMaker/Actions/Array/ArrayGet.cs""]"	exact_declared_type
