source	guid	sha256	bytes	lines	game_objects	mono_behaviours	fsms	sprite_renderers	animators	audio_sources	colliders_2d	prefab_instances
Assets/Animations/Belltown House Anim.prefab	9e1682bdff894734fb9406cf7e8c826c	2c06eb1524142354c6123e9c2c507845dba1b640004b7776951d39b9a4929919	9738	317	1	1	0	0	0	0	0	0
Assets/Animations/Blue Assistant Anim.prefab	0cd69212f73076a4599274eac239fdb6	82d23944beb0a4ab37f698d6c2a4113ea4b5cf787fcd4d9f999f9b82dd2e06a0	14842	495	1	1	0	0	0	0	0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	c4bd2f7a9ae309347ac275a569d2fd3d	e0951e2fac9d585fe7258910158a57ecb095fe5bd111a04af103013d40c366ea	7975	268	1	1	0	0	0	0	0	0
Assets/Animations/Bosses/Clover Dancers Anim.prefab	cd6e444397decbb488e7787f0907a081	5b007095ffef43501434be320295c5595fb36e935d6fd8a140458d9f8baaf02f	44883	1485	1	1	0	0	0	0	0	0
Assets/Animations/Bosses/Hornet Boss Anim.prefab	311581a1787edca4793d0748a7a27b3b	1733e2d3d94d9e20a4870c88adec1c644b0976008a833cbfb72a0bb8f07455bf	68496	2236	1	1	0	0	0	0	0	0
Assets/Animations/Bosses/Mantis Lords Anim.prefab	80098b07d39cac44795f8aaa0f01ce57	51990fc059212782f4974d3ec96508d2e9b980f2a6cad7ddd3c80f395c42a283	29577	1378	1	1	0	0	0	0	0	0
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	dcbd0db2864628546813d41f3feb8dbb	fc57119a44d2aeb9139914d6924e11ffe9d0789e2ea981b4bbd370ce18f73f5b	15774	529	1	1	0	0	0	0	0	0
Assets/Animations/Charm Effect Anim.prefab	c142a5e680ac15c47bc63cb853102a66	d592bf4538a5a27635f6e20a96ba9b9c1fe2efa61db4e4a7b14ceae58776d60d	2587	88	1	1	0	0	0	0	0	0
Assets/Animations/Clockwork Dancers Anim.prefab	6da8f724a120c0f4e86a1558be022311	b9ed0f61071f86fa51940a1ab6b86a62196db417e48836afa416c2bc419e9cbc	36535	1220	1	1	0	0	0	0	0	0
Assets/Animations/Crowman Dagger Anim.prefab	15587453685a4824d9a75bbfe99d1dad	22a90d38db4c5b1f451e2eff167b64105d5037a3f0f622a236bb8851ce4b0cfe	22242	735	1	1	0	0	0	0	0	0
Assets/Animations/Cutscene/Crest Get Anim.prefab	f701078811cdb2844b45667be7cc4b7e	d9d8fae360015c0888ba9813ba8773fc0ccf02ffdb1b37de3a67d11d90830ac4	17283	562	1	1	0	0	0	0	0	0
Assets/Animations/Effects/Ability Get Thread Anim.prefab	53bfeca2c4762c04890f0f09bc59d815	993526283e856938735d7a8a8d7effb2504ef57496723727d6b1d554655a8791	24854	783	1	1	0	0	0	0	0	0
Assets/Animations/Effects/Light Effects.prefab	667951fab6baccf4dac9928bcee64f4b	7009e9434be74aa04f0a3f90d7226b2e44e261358231ee9e38b9bc633110ac98	10054	324	1	1	0	0	0	0	0	0
Assets/Animations/Effects/Spatters.prefab	0cf5afee57fdf8d40ba2b3d907967fb2	7466b7e7d7e9fcabc2f9138b7aac5be34ad5695c3a3383c94d16b46a0d7cf341	6628	226	1	1	0	0	0	0	0	0
Assets/Animations/Effects/Strikes.prefab	638d37c542639964baa59bc3957cb769	159f18c401ce8c62a20011744986bcd0c3a5f3b42290e440a4f1b01b46dfb531	38215	1246	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Abyss Crawler Anim.prefab	68c4349a9b4872747a5621a6d0b63201	25d52abd76335ea8e5ede2eb9b6d0ff7a329638dca9d99e8a29221730d91ba9d	5649	192	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Abyss Tendrils Anim.prefab	e1aa8eacc7e17e142885df9c431c7ab0	b5963a4de0a3f773e0118bffbd4df468def95898d9c5d7f9896720ea3644444e	5099	170	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Aspid Hopper Anim.prefab	5942aa771126eb74384983c75ca58e99	9612a75a9e4fe936ae209e43a9195525f129806b6b6fb95bb37c0b4ec713dd82	12501	419	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Centipede Trap Anim v2.prefab	3a2e55d7e29f8d147bd156fa80dd4e27	7561a4a9bc727457506b2e4b61426f3e676f39a7b29b6358cb544c9ca9c334ef	9305	305	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Hollow Shade.prefab	d1b4a098d9b67e44eacffed51ae85713	2eab8ffd48227f9a2326301c763cc932f4d0796f99b7c34bb74680bbd3f6849e	45328	1462	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Knight Hatchling Anim.prefab	870f0033f64de6c4d93ff8b118a9e8a1	eaf2a7a025424b01e3faf23590f20734cb87215395beb07c6f3c62c2aeafda25	13422	475	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Pilgrim Bellthrower Fly Anim.prefab	6e93a24f8f992a747b2272276a8e5a61	1f682c7c6f045475f310ec2b7306e74e3c259d05610d9361fb8567690dc3aae1	14552	488	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Projectiles.prefab	b20d2d3ac57b99548b047ad9d51113fb	8fc2218066eeb30df5120984b7e8cc9450b6595927d59375394b09613f6d8f9c	5779	193	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Silk Possession Anim.prefab	730038df949db784888b74ee76fc2f0c	edea137227e71b01f7ec61c7879a25d8665bb934efb789c9ceb8fbcdf410972d	5507	182	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/White Palace Fly Anim.prefab	c5aeea5bb32a3c64fa53a0d8b955892b	5d0872a048d2a7bd788ad65c020162dfdb690fa982a194bf2d260c0ad093ba0a	8095	269	1	1	0	0	0	0	0	0
Assets/Animations/Enemies/Wisp Bounce Pod Anim.prefab	6ee94cd70352862428db926f8c588bd1	bea07fdd0a7e59375ba4ac4b90a975c7f04dbbedba599879eb5e520f2feab186	3319	116	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Abyss Bounce Pod Anim.prefab	1c06119bd5e8c9845b514c7dd8e11f68	42f1a60eddff8cbc095c867a5146890f7b611edfe49cab6d581fd1313343947a	4976	169	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Hornet Heart Grab Anim.prefab	bce02dc2f0d3e544e99f5fa38bd566fa	4253e8e070a4b99bfc0a9f27510b3ca51b569804a5a61bd26143c51860605c21	11535	376	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Shellwood Bounce Bloom Anim.prefab	31a03570ca55e784983883a4823235dd	a102941abe220831e63b91ae243673e3640d47d0de104ac5924f16a431cbefc7	4456	156	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Silk Boss Arm Anim.prefab	2a9290cbd4ada144182c2ef095fe4b7c	d4b6ce3cc48b8cd1a0fe2bb912ef4ca5c6e836426a4bc4acee1fa3019dd938a8	2458	87	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Sprintmaster Bounce Pod Anim.prefab	3637cd1736b762f42b697d70189043ee	801b598759daa6298612948951e9ec834019e5065732302e7320195a382dd745	3327	116	1	1	0	0	0	0	0	0
Assets/Animations/Hornet/Tools Anim.prefab	885079ae67c2a9b4bbd8d35f355406f3	39ceb2b918c7c75855bb2698acbf22477ca955b2389381fbd790b05a62c8b8a3	142128	4625	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Anim.prefab	8d639c8404afb0246ac8546ffd01975a	faab4791ae7cfec8ea60050fdf9dc75e56ab7c095f081e5a3e75de5d0d424289	24981	823	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Cloakless Anim.prefab	950865ba2af47904fbfe4d641dcd8ddd	f9aedef2ef7ba921b59dafa76a8ef05e2be1242631a06f2aa1ff68e93f2e712c	228219	8015	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Dagger Anim.prefab	f518104135a72c34dac4ae98d74f31ee	1d0426382825fcad83eb29ff1e8cc0c99deff2c47c80825fb0c162b0b7013166	25245	824	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Drill Lance Anim.prefab	5c1f8a25c746cc24b8f431388f556712	816c47802d0603f1453b6def42e887817f17f453ff97373fc22b2d68c2f97ca7	30510	1007	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Scythe Anim.prefab	bd4367ec46da55949b7a20bf5020e62d	524dd83ed62dd9de68474aa34b648f3a0ca01f9f342ac1bf9a153d92cd40fbb0	35347	1151	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Shaman Anim.prefab	f64d2f9650e26484ebc524ade6cc8f02	388730904692a970bb1501b2e32ca659b28417cd4b82a403b9e7d4f52305bfd9	19545	633	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Warrior Anim.prefab	bc56501ace1230e4484c58993b046241	f8d408d1e111fd819fa9fb24eeb7e77429f98426c6993928b8cf02db1b7e483c	66560	2140	1	1	0	0	0	0	0	0
Assets/Animations/Hornet CrestWeapon Whip Anim.prefab	70db0ceb5bfb04443b54bb243073d0d2	39bc7e9268a09233a439db0af18f75d5150edd3108c149f03e1388d0c00651df	23168	763	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Abyss Crawler Large Anim.prefab	436a83f116b34f548aff71b382c0372e	e4e3356025e1c037afd790d5c153dbe64d2e975731eaca768e78082d08aeff38	8189	274	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Abyss Grab Tendril Anim.prefab	86f68427a277b454397059c158e37480	af42cf0c325b329a633475633b9c4f5d6c80b2b3c0571fa23055f9019131f77a	8623	282	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Abyss Mass Anim.prefab	d5ced5b5be643aa4a8e597b87923748c	a19d9ee3db027c021678f2926a1ba3862b379c0483947d55b04374701288babd	10662	347	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Arborium Keeper Anim.prefab	d8af3805873eca240933c6420704daa5	3617e4bf9b2078f80341c2416bbefb550b3bd2fb3b7c02b155f63117c113ca2c	21454	711	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Aspid Collector Anim.prefab	52f922bfd77a0ec40960004dee49fdce	63a383aa864a5b079fc3afb0d2e8bccacf51e698d79f20e17550e876c20c9ba2	21578	721	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Aspid Hatchling Anim.prefab	cf8acddbb3ef2734c91a4fbe87e364f3	eef9bce8d1d3d65543f33cc7291da6656747d9f8c792cf16cf5e9466afb25de5	10290	344	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bell Fly Anim.prefab	e3415cabc33e0f64f932869ad731be2f	2c3d6cd51e587cf5e9da87b62b7620275a157113fe89ccd22a9afd524e72ec6a	10019	333	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bell Goomba Anim.prefab	c6248a2f0686c554ba12a9879a7cedc5	483a704a001351142a66cd4da5b325f3a96733c503a98495347421b0dfa19e25	18827	624	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Bell Goomba Silver Anim.prefab	22f844bb28ee81c49a2aaa7a41139db5	2304fb672358bccb005d45b8a8357ebed32de707a6a8d90e0dac3cd97e1850f4	16701	554	1	1	0	0	0	0	0	0
Assets/Animations/Hornet Enemies/Blade Spider Anim.prefab	c74164513c16e1f41ab359949c2fb73f	682680c68e1e46eafe8b0b9d37bb8c75392f19d5325fa8e4e2396bc5f920b20d	16086	536	1	1	0	0	0	0	0	0
