source	component_id	owner_id	owner_name	owner_hierarchy	line	target_scene	entry_point	is_door	entry_delay	always_enter_left	always_enter_right
Assets/Scenes/Hornet/Abandoned_town.unity	6295	683	door1	Inspect Door/door1	400753	Cradle_Destroyed_Challenge_Bench	door1	1	0	0	1
Assets/Scenes/Hornet/Abandoned_town.unity	6296	808	bot1	bot1	400801	Cradle_Destroyed_Challenge_01	top1	0	0	0	0
Assets/Scenes/Hornet/Abyss_01.unity	6629	176	right2	right2	335544	Abyss_02b	left2	0	0	0	0
Assets/Scenes/Hornet/Abyss_01.unity	6630	576	left1	left1	335592	Abyss_06	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_01.unity	6631	904	right4	right4	335640	Abyss_07	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_01.unity	6632	1023	right3	right3	335688	Abyss_04	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_02.unity	7300	528	left1	left1	653987	Abyss_02b	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_02.unity	7301	658	right1	right1	654035	Abyss_03	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_02b.unity	9710	286	left2	left2	788296	Abyss_01	right2	0	0	0	0
Assets/Scenes/Hornet/Abyss_02b.unity	9711	1045	top1	top1	788344	Abyss_11	bot1	0	0	0	0
Assets/Scenes/Hornet/Abyss_02b.unity	9712	1808	right1	right1	788392	Abyss_02	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_03.unity	5746	86	door1	Diving Bell States/Diving Bell Broken/door1	366443	Room_Diving_Bell_Abyss	left1	1	0	0	0
Assets/Scenes/Hornet/Abyss_03.unity	5747	151	left2	left2	366491	Abyss_13	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_03.unity	5748	716	left1	left1	366539	Abyss_02	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_03.unity	5749	1126	door2	Diving Bell States/Gone/Diving Bell Upgraded/door2	366587	Room_Diving_Bell_Abyss_Fixed	left1	1	0	0	0
Assets/Scenes/Hornet/Abyss_04.unity	7172	442	left1	left1	413686	Abyss_01	right3	0	0	0	0
Assets/Scenes/Hornet/Abyss_05.unity	11914	339	right1	right1	990743	Abyss_08	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_05.unity	11915	1816	left2	left2	990791	Abyss_12	right2	0	0	0	0
Assets/Scenes/Hornet/Abyss_06.unity	2736	171	right1	right1	191132	Abyss_01	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_07.unity	4181	151	left1	left1	464852	Abyss_01	right4	0	0	0	0
Assets/Scenes/Hornet/Abyss_07.unity	4182	285	right1	right1	464900	Abyss_12	left1	0	0	0	0
Assets/Scenes/Hornet/Abyss_08.unity	9618	1761	left1	left1	687363	Abyss_05	right1	0	0	0	0
Assets/Scenes/Hornet/Abyss_09.unity	48321	839	top1	top1	5179089	Dock_06_Church	bot1	0	0	0	0
Assets/Scenes/Hornet/Abyss_09.unity	48322	1191	bot1	bot1	5179137	Abyss_13	top1	0	0	0	0
Assets/Scenes/Hornet/Abyss_11.unity	2422	180	right1	right1	167110	Abyss_13	left1	0	0	0	0
