source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/AddressableAssetsData/AssetGroups/StartupData.asset	11400000	0			3	bbb281ee3bf0b054c82ac2347e9e782c	11500000	[]	1
Assets/Animations/Bosses/Mossbone Mother Anim.prefab	114724804207875695	1709254077376921	Mossbone Mother Anim	Mossbone Mother Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Goomba Bounce Fly Anim.prefab	114724804207875695	1709254077376921	Bone Goomba Bounce Fly Anim	Bone Goomba Bounce Fly Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Hunter Buzzer Anim.prefab	114724804207875695	1709254077376921	Bone Hunter Buzzer Anim	Bone Hunter Buzzer Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Hunter Trapper Anim.prefab	114724804207875695	1709254077376921	Bone Hunter Trapper Anim	Bone Hunter Trapper Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Conductor Anim.prefab	114724804207875695	1709254077376921	Conductor Anim	Conductor Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Dock Guard Anim.prefab	114724804207875695	1709254077376921	Dock Guard Anim	Dock Guard Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Farmer Scissors Anim.prefab	114724804207875695	1709254077376921	Farmer Scissors Anim	Farmer Scissors Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Grass Goomba Anim.prefab	114724804207875695	1709254077376921	Grass Goomba Anim	Grass Goomba Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Hanging Dummies Anim.prefab	114724804207875695	1709254077376921	Hanging Dummies Anim	Hanging Dummies Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Pilgrim Trap Anim.prefab	114724804207875695	1709254077376921	Pilgrim Trap Anim	Pilgrim Trap Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Roachkeeper Chef Tiny Anim.prefab	114724804207875695	1709254077376921	Roachkeeper Chef Tiny Anim	Roachkeeper Chef Tiny Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Slab Prisoner Leaper Anim.prefab	114724804207875695	1709254077376921	Slab Prisoner Leaper Anim	Slab Prisoner Leaper Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Scholar Acolyte Anim.prefab	114724804207875695	1709254077376921	Song Scholar Acolyte Anim	Song Scholar Acolyte Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
