source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/AddressableAssetsData/DataBuilders/BuildScriptFastMode.asset	11400000	0			3	88d21199f5d473f4db36845f2318f180	11500000	[]	1
Assets/AddressableAssetsData/DataBuilders/BuildScriptPackedPlayMode.asset	11400000	0			3	ad8c280d42ee0ed41a27db23b43dd2bf	11500000	[]	1
Assets/Animations/Effects/Light Effects.prefab	114724804207875695	1709254077376921	Light Effects	Light Effects	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet CrestWeapon Warrior Anim.prefab	114724804207875695	1709254077376921	Hornet CrestWeapon Warrior Anim	Hornet CrestWeapon Warrior Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Abyss Mass Anim.prefab	114724804207875695	1709254077376921	Abyss Mass Anim	Abyss Mass Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Goomba Anim.prefab	114724804207875695	1709254077376921	Bone Goomba Anim	Bone Goomba Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Roller Anim.prefab	114724804207875695	1709254077376921	Bone Roller Anim	Bone Roller Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Cloverstag Anim.prefab	114724804207875695	1709254077376921	Cloverstag Anim	Cloverstag Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Conch Driller Anim.prefab	114724804207875695	1709254077376921	Coral Conch Driller Anim	Coral Conch Driller Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Conch Stabber Anim.prefab	114724804207875695	1709254077376921	Coral Conch Stabber Anim	Coral Conch Stabber Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
