source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/AddressableAssetsData/AssetGroups/Scenes.asset	11400000	0			3	bbb281ee3bf0b054c82ac2347e9e782c	11500000	[]	1
Assets/AddressableAssetsData/AssetGroups/Schemas/Scenes_BundledAssetGroupSchema.asset	11400000	0			3	e5d17a21594effb4e9591490b009e7aa	11500000	[]	1
Assets/Animations/Effects/Spatters.prefab	114724804207875695	1709254077376921	Spatters	Spatters	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet CrestWeapon Shaman Anim.prefab	114724804207875695	1709254077376921	Hornet CrestWeapon Shaman Anim	Hornet CrestWeapon Shaman Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Conch Driller Giant Anim.prefab	114724804207875695	1709254077376921	Coral Conch Driller Giant Anim	Coral Conch Driller Giant Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Conch Shooter Anim.prefab	114724804207875695	1709254077376921	Coral Conch Shooter Anim	Coral Conch Shooter Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Judge Anim.prefab	114724804207875695	1709254077376921	Coral Judge Anim	Coral Judge Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Farmer Centipede Anim.prefab	114724804207875695	1709254077376921	Farmer Centipede Anim	Farmer Centipede Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Lilypad Plat Anim.prefab	114724804207875695	1709254077376921	Lilypad Plat Anim	Lilypad Plat Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Pilgrim Moss Spitter Anim.prefab	114724804207875695	1709254077376921	Pilgrim Moss Spitter Anim	Pilgrim Moss Spitter Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Shellwood Goomba Anim.prefab	114724804207875695	1709254077376921	Shellwood Goomba Anim	Shellwood Goomba Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Slab Prisoner Fly Anim.prefab	114724804207875695	1709254077376921	Slab Prisoner Fly Anim	Slab Prisoner Fly Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Automaton 01 Anim.prefab	114724804207875695	1709254077376921	Song Automaton 01 Anim	Song Automaton 01 Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Automaton Tiny Anim.prefab	114724804207875695	1709254077376921	Song Automaton Tiny Anim	Song Automaton Tiny Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Heavy Sentry Anim.prefab	114724804207875695	1709254077376921	Song Heavy Sentry Anim	Song Heavy Sentry Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Tar Slug Anim.prefab	114724804207875695	1709254077376921	Tar Slug Anim	Tar Slug Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Understore Thrower Anim.prefab	114724804207875695	1709254077376921	Understore Thrower Anim	Understore Thrower Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
