source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/AddressableAssetsData/AssetGroups/Schemas/Scenes_ContentUpdateGroupSchema.asset	11400000	0			3	5834b5087d578d24c926ce20cd31e6d6	11500000	[]	1
Assets/AddressableAssetsData/AssetGroups/StartupCore.asset	11400000	0			3	bbb281ee3bf0b054c82ac2347e9e782c	11500000	[]	1
Assets/AddressableAssetsData/AssetGroups/StartupScenes.asset	11400000	0			3	bbb281ee3bf0b054c82ac2347e9e782c	11500000	[]	1
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	Clover Dancers Anim	Clover Dancers Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Enemies/Abyss Crawler Anim.prefab	114724804207875695	1709254077376921	Abyss Crawler Anim	Abyss Crawler Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Cloakless Anim.prefab	114724804207875695	1709254077376921	Hornet Cloakless Anim	Hornet Cloakless Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Arborium Keeper Anim.prefab	114724804207875695	1709254077376921	Arborium Keeper Anim	Arborium Keeper Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bell Fly Anim.prefab	114724804207875695	1709254077376921	Bell Fly Anim	Bell Fly Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bell Goomba Silver Anim.prefab	114724804207875695	1709254077376921	Bell Goomba Silver Anim	Bell Goomba Silver Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Hunter Trapper Barb Anim.prefab	114724804207875695	1709254077376921	Bone Hunter Trapper Barb Anim	Bone Hunter Trapper Barb Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Big Jellyfish Anim.prefab	114724804207875695	1709254077376921	Coral Big Jellyfish Anim	Coral Big Jellyfish Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Flyer Throw Anim.prefab	114724804207875695	1709254077376921	Coral Flyer Throw Anim	Coral Flyer Throw Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Dock Guard Thrower.prefab	114724804207875695	1709254077376921	Dock Guard Thrower	Dock Guard Thrower	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
