source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/AddressableAssetsData/AssetGroups/Schemas/StartupScenes_ContentUpdateGroupSchema.asset	11400000	0			3	5834b5087d578d24c926ce20cd31e6d6	11500000	[]	1
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	Belltown House Anim	Belltown House Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Effects/Ability Get Thread Anim.prefab	114724804207875695	1709254077376921	Ability Get Thread Anim	Ability Get Thread Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Enemies/Wisp Bounce Pod Anim.prefab	114724804207875695	1709254077376921	Wisp Bounce Pod Anim	Wisp Bounce Pod Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet/Shellwood Bounce Bloom Anim.prefab	114724804207875695	1709254077376921	Shellwood Bounce Bloom Anim	Shellwood Bounce Bloom Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bell Goomba Anim.prefab	114724804207875695	1709254077376921	Bell Goomba Anim	Bell Goomba Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Flyer Anim.prefab	114724804207875695	1709254077376921	Bone Flyer Anim	Bone Flyer Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Worm Anim.prefab	114724804207875695	1709254077376921	Bone Worm Anim	Bone Worm Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Bubble Brute Anim.prefab	114724804207875695	1709254077376921	Coral Bubble Brute Anim	Coral Bubble Brute Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Flyer Anim.prefab	114724804207875695	1709254077376921	Coral Flyer Anim	Coral Flyer Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Hunter Anim.prefab	114724804207875695	1709254077376921	Coral Hunter Anim	Coral Hunter Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Warrior Grey Anim.prefab	114724804207875695	1709254077376921	Coral Warrior Grey Anim	Coral Warrior Grey Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Dustroach Anim.prefab	114724804207875695	1709254077376921	Dustroach Anim	Dustroach Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Fields Flock Flyer Short Anim.prefab	114724804207875695	1709254077376921	Fields Flock Flyer Short Anim	Fields Flock Flyer Short Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/First Weaver Anim.prefab	114724804207875695	1709254077376921	First Weaver Anim	First Weaver Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Hornet Dragonfly Anim.prefab	114724804207875695	1709254077376921	Hornet Dragonfly Anim	Hornet Dragonfly Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Silk Boss Anim.prefab	114724804207875695	1709254077376921	Silk Boss Anim	Silk Boss Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Slab Fly Vomit Anim.prefab	114724804207875695	1709254077376921	Slab Fly Vomit Anim	Slab Fly Vomit Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Swamp Ductsucker Anim.prefab	114724804207875695	1709254077376921	Swamp Ductsucker Anim	Swamp Ductsucker Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Bagpipers Anim.prefab	114724804207875695	1709254077376921	Bagpipers Anim	Bagpipers Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Generic Pilgrims Anim.prefab	114724804207875695	1709254077376921	Generic Pilgrims Anim	Generic Pilgrims Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Lady Bug Anim.prefab	114724804207875695	1709254077376921	Lady Bug Anim	Lady Bug Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Moss Creep Anim.prefab	114724804207875695	1709254077376921	Moss Creep Anim	Moss Creep Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Pilgrim Stomper NPC Anim.prefab	114724804207875695	1709254077376921	Pilgrim Stomper NPC Anim	Pilgrim Stomper NPC Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Items/Geo.prefab	114724804207875695	1709254077376921	Geo	Geo	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Props/Bell Wall Anim.prefab	114724804207875695	1709254077376921	Bell Wall Anim	Bell Wall Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Audio/AtmosCues/Abyss.asset	11400000	0			3	ec22ec08005a5708444e04b428b40c0e	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AtmosCue.cs""]"	1
Assets/Audio/AtmosCues/Crawl.asset	11400000	0			3	ec22ec08005a5708444e04b428b40c0e	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/AtmosCue.cs""]"	1
Assets/Audio/HornetVoices/Acolyte/Acolyte_pray_ambient.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Automatons/Automaton_mid_sing.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Automatons/Automaton_shield_attack_long.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Automatons/second_sentinel_stun_hit.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Bitterbug/Garmond_roar_wake.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Bitterbug/Garmond_startle_large.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Broodmother/BM_hatch.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Burning Bug/BB_death_land.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Coral Brawler/CBubbler_charge.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Coral Warrior/coral_flyer_attack.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Coral Warrior Male/coral_warrior_attack.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
Assets/Audio/HornetVoices/Couriers/Courier_short_alert.asset	11400000	0			3	d8b8f475418376667176a09b732810f1	11500000	"[""Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics/RandomAudioClipTable.cs""]"	1
