source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/Animations/Enemies/Centipede Trap Anim v2.prefab	114724804207875695	1709254077376921	Centipede Trap Anim v2	Centipede Trap Anim v2	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Beast Anim.prefab	114724804207875695	1709254077376921	Bone Beast Anim	Bone Beast Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Coral Brawler Anim.prefab	114724804207875695	1709254077376921	Coral Brawler Anim	Coral Brawler Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Grasshopper Child Anim.prefab	114724804207875695	1709254077376921	Grasshopper Child Anim	Grasshopper Child Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Mite Anim.prefab	114724804207875695	1709254077376921	Mite Anim	Mite Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Phantom Anim.prefab	114724804207875695	1709254077376921	Phantom Anim	Phantom Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Pilgrim 02 Anim.prefab	114724804207875695	1709254077376921	Pilgrim 02 Anim	Pilgrim 02 Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Pilgrim 05 Anim.prefab	114724804207875695	1709254077376921	Pilgrim 05 Anim	Pilgrim 05 Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Rock Roller Anim.prefab	114724804207875695	1709254077376921	Rock Roller Anim	Rock Roller Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Slab Fly Large Cage Anim.prefab	114724804207875695	1709254077376921	Slab Fly Large Cage Anim	Slab Fly Large Cage Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Administrator Anim.prefab	114724804207875695	1709254077376921	Song Administrator Anim	Song Administrator Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Automaton Ball Anim.prefab	114724804207875695	1709254077376921	Song Automaton Ball Anim	Song Automaton Ball Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Song Threaded Husk Spin Anim.prefab	114724804207875695	1709254077376921	Song Threaded Husk Spin Anim	Song Threaded Husk Spin Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Swamp Barnacle Anim.prefab	114724804207875695	1709254077376921	Swamp Barnacle Anim	Swamp Barnacle Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Trobbio Anim.prefab	114724804207875695	1709254077376921	Trobbio Anim	Trobbio Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Belltown Greeter Anim.prefab	114724804207875695	1709254077376921	Belltown Greeter Anim	Belltown Greeter Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Gilly Anim.prefab	114724804207875695	1709254077376921	Gilly Anim	Gilly Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/HH Patron Right Anim.prefab	114724804207875695	1709254077376921	HH Patron Right Anim	HH Patron Right Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet NPCs/Mapper Anim.prefab	114724804207875695	1709254077376921	Mapper Anim	Mapper Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Props/Harpoon_Ring_Seamstress Anim.prefab	114724804207875695	1709254077376921	Harpoon_Ring_Seamstress Anim	Harpoon_Ring_Seamstress Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Props/Interactive/Bellshrine/Bellshrine Wind-up Timeline.playable	11400000	0			3	1f79187d04fa6fdd168e19d4bafe7dfa	337831424	"[""Assets/Plugins/Unity.Timeline.dll""]"	1
Assets/Animations/Props/Interactive/Bellshrine/Bellshrine Wind-up Timeline.playable	114709254077376921	0			25	1f79187d04fa6fdd168e19d4bafe7dfa	1467732076	"[""Assets/Plugins/Unity.Timeline.dll""]"	1
Assets/Animations/Props/Interactive/Bellshrine/Bellshrine Wind-up Timeline.playable	114730242686860875	0			131	1f79187d04fa6fdd168e19d4bafe7dfa	2024714994	"[""Assets/Plugins/Unity.Timeline.dll""]"	1
