source	component_id	owner_id	owner_name	owner_hierarchy	component_line	script_guid	script_file_id	script_paths	enabled
Assets/Animations/Charm Effect Anim.prefab	114724804207875695	1709254077376921	Charm Effect Anim	Charm Effect Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Crowman Dagger Anim.prefab	114724804207875695	1709254077376921	Crowman Dagger Anim	Crowman Dagger Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Effects/Strikes.prefab	114724804207875695	1709254077376921	Strikes	Strikes	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Enemies/Abyss Tendrils Anim.prefab	114724804207875695	1709254077376921	Abyss Tendrils Anim	Abyss Tendrils Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Abyss Crawler Large Anim.prefab	114724804207875695	1709254077376921	Abyss Crawler Large Anim	Abyss Crawler Large Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Bone Hunter Throw Anim.prefab	114724804207875695	1709254077376921	Bone Hunter Throw Anim	Bone Hunter Throw Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Dragonfly Large Anim.prefab	114724804207875695	1709254077376921	Dragonfly Large Anim	Dragonfly Large Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Pilgrim 01 Anim.prefab	114724804207875695	1709254077376921	Pilgrim 01 Anim	Pilgrim 01 Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Roachfeeder Short Anim.prefab	114724804207875695	1709254077376921	Roachfeeder Short Anim	Roachfeeder Short Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
Assets/Animations/Hornet Enemies/Roachfeeder Tall Anim.prefab	114724804207875695	1709254077376921	Roachfeeder Tall Anim	Roachfeeder Tall Anim	35	fdac0a3e1d5ed46ceaf857a65cc11efe	11500000	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteAnimation.cs""]"	1
