directory	direct_csharp_files
Assets/Editor	1
Assets/Editor/AssetRipperPatches	2
Assets/Editor/Filter	1
Assets/Editor/GameResearch	3
Assets/Editor/PropertyDrawers	6
Assets/PlayMaker	1
Assets/PlayMaker/Actions	6
Assets/PlayMaker/Actions/AnimateVariables	16
Assets/PlayMaker/Actions/Animation	15
Assets/PlayMaker/Actions/Animator	62
Assets/PlayMaker/Actions/Animator/BaseClasses	1
Assets/PlayMaker/Actions/Animator/Editor	25
Assets/PlayMaker/Actions/Animator/Editor/BaseClasses	1
Assets/PlayMaker/Actions/Application	6
Assets/PlayMaker/Actions/Array	25
Assets/PlayMaker/Actions/Audio	11
Assets/PlayMaker/Actions/Camera	11
Assets/PlayMaker/Actions/Character	11
Assets/PlayMaker/Actions/Color	6
Assets/PlayMaker/Actions/Convert	13
Assets/PlayMaker/Actions/Debug	16
Assets/PlayMaker/Actions/Debug/Editor	1
Assets/PlayMaker/Actions/Device	18
Assets/PlayMaker/Actions/Editor	8
Assets/PlayMaker/Actions/Effects	3
Assets/PlayMaker/Actions/Enum	1
Assets/PlayMaker/Actions/GUI	22
Assets/PlayMaker/Actions/GUIElement	4
Assets/PlayMaker/Actions/GUILayout	33
Assets/PlayMaker/Actions/GameObject	39
Assets/PlayMaker/Actions/Gamepad	8
Assets/PlayMaker/Actions/Input	22
Assets/PlayMaker/Actions/Level	4
Assets/PlayMaker/Actions/Lights	8
Assets/PlayMaker/Actions/Logic	36
Assets/PlayMaker/Actions/Material	13
Assets/PlayMaker/Actions/Math	28
Assets/PlayMaker/Actions/Math/Editor	1
Assets/PlayMaker/Actions/MathExpression/Mathos	2
Assets/PlayMaker/Actions/Mesh	2
Assets/PlayMaker/Actions/Movie	4
Assets/PlayMaker/Actions/Physics	33
Assets/PlayMaker/Actions/Physics/Editor	2
Assets/PlayMaker/Actions/Physics2D	43
Assets/PlayMaker/Actions/Physics2D/Editor	2
Assets/PlayMaker/Actions/PlayerInput	13
Assets/PlayMaker/Actions/PlayerPrefs	11
Assets/PlayMaker/Actions/ProceduralMaterial	6
Assets/PlayMaker/Actions/Quaternion	14
Assets/PlayMaker/Actions/Quaternion/Editor	13
Assets/PlayMaker/Actions/Rect	6
Assets/PlayMaker/Actions/RectTransform	31
Assets/PlayMaker/Actions/RenderSettings	7
Assets/PlayMaker/Actions/SceneManager	26
Assets/PlayMaker/Actions/SceneManager/Editor	15
Assets/PlayMaker/Actions/SceneManager/Editor/Internal	1
Assets/PlayMaker/Actions/SceneManager/Internal	1
Assets/PlayMaker/Actions/Screen	1
Assets/PlayMaker/Actions/ScriptControl	8
Assets/PlayMaker/Actions/SpriteRenderer	15
Assets/PlayMaker/Actions/StateMachine	70
Assets/PlayMaker/Actions/StateMachine/Editor	1
Assets/PlayMaker/Actions/String	12
Assets/PlayMaker/Actions/Time	6
Assets/PlayMaker/Actions/Transform	28
Assets/PlayMaker/Actions/Trigonometry	9
Assets/PlayMaker/Actions/Tween	16
Assets/PlayMaker/Actions/Tween/BaseActions	7
Assets/PlayMaker/Actions/Tween/Editor	13
Assets/PlayMaker/Actions/UI	68
Assets/PlayMaker/Actions/UI/Canvas	6
Assets/PlayMaker/Actions/UI/Editor	1
Assets/PlayMaker/Actions/UI/EventSystem	25
Assets/PlayMaker/Actions/UI/Layout	2
Assets/PlayMaker/Actions/UI/Selectable	11
Assets/PlayMaker/Actions/UnityObject	4
Assets/PlayMaker/Actions/Vector2	23
Assets/PlayMaker/Actions/Vector3	21
Assets/PlayMaker/Actions/VideoClip	6
Assets/PlayMaker/Actions/VideoPlayer	61
Assets/PlayMaker/Actions/Web	1
Assets/PlayMaker/Editor	38
Assets/Plugins/Assembly-CSharp-firstpass	9
Assets/Plugins/Assembly-CSharp-firstpass/Ara	4
Assets/Plugins/Assembly-CSharp-firstpass/PolyAndCode/UI	6
Assets/Plugins/Assembly-CSharp-firstpass/Properties	1
Assets/Plugins/Assembly-CSharp-firstpass/UnityStandardAssets/ImageEffects	37
Assets/Scripts	1
Assets/Scripts/Assembly-CSharp	1217
Assets/Scripts/Assembly-CSharp/GenericVariableExtension	1
Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker	28
Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions	794
Assets/Scripts/BuildSupport/Properties	1
Assets/Scripts/BuildSupport/System/Runtime/Serialization/Formatters	1
Assets/Scripts/BuildSupport/System/Runtime/Serialization/Formatters/Binary	1
Assets/Scripts/BuildSupport/System/Security/Cryptography	1
Assets/Scripts/MixedIntegrations	1
Assets/Scripts/MixedIntegrations/PlayMakerActions	84
Assets/Scripts/MixedIntegrations/SecPlayerPrefs	2
Assets/Scripts/MixedIntegrations/UnityStandardAssets/ImageEffects	1
Assets/Scripts/ProjectCode/FSM/00_Core	4
Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Game_Text	1
Assets/Scripts/ProjectCode/FSM/01_Project_Actions/General	15
Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight	101
Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Hollow_Knight_GG	16
Assets/Scripts/ProjectCode/FSM/01_Project_Actions/Inventory	4
Assets/Scripts/ProjectCode/FSM/03_Project_Triggers	2
Assets/Scripts/ProjectCode/FSM/QuestActions	22
Assets/Scripts/ProjectCode/FSM/StateMachineBehaviours	1
Assets/Scripts/ProjectCode/Game/00_Bootstrap	3
Assets/Scripts/ProjectCode/Game/01_Core	5
Assets/Scripts/ProjectCode/Game/02_Player	27
Assets/Scripts/ProjectCode/Game/02_Player/InputSystem	5
Assets/Scripts/ProjectCode/Game/03_Combat	43
Assets/Scripts/ProjectCode/Game/04_World_Environment	88
Assets/Scripts/ProjectCode/Game/05_Scenes_Travel	34
Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression	75
Assets/Scripts/ProjectCode/Game/07_UI_Localization	87
Assets/Scripts/ProjectCode/Game/08_Audio_Visual_Cinematics	161
Assets/Scripts/ProjectCode/Game/09_Platform_Input_Achievements	60
Assets/Scripts/ProjectCode/Game/10_Bosses_Godmaster	35
Assets/Scripts/ProjectCode/Game/11_Actors_Quests	29
