source	namespace	owner_type	kind	symbol	line	end_line	signature
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor		class_declaration	AudioMixerPostprocessor	18	66	public class AudioMixerPostprocessor : AssetPostprocessor
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor	AudioMixerPostprocessor	field_declaration	AudioMixerEffectControllerType	20	20	private static readonly Type AudioMixerEffectControllerType;
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor	AudioMixerPostprocessor	field_declaration	PreallocateGUIDsMethod	21	21	private static readonly MethodInfo PreallocateGUIDsMethod;
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor	AudioMixerPostprocessor	field_declaration	GetAudioEffectNamesMethod	22	22	private static readonly MethodInfo GetAudioEffectNamesMethod;
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor	AudioMixerPostprocessor	constructor_declaration	AudioMixerPostprocessor	24	36	static AudioMixerPostprocessor()
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	AssetRipperPatches.Editor	AudioMixerPostprocessor	method_declaration	OnPostprocessAllAssets	38	65	static void OnPostprocessAllAssets(string[] importedAssets, string[] deletedAssets, string[] movedAssets, string[] movedFromAssetPaths)
Assets/Editor/AssetRipperPatches/Tk2dTileMapPlayModeCleanup.cs			class_declaration	Tk2dTileMapPlayModeCleanup	4	57	[InitializeOnLoad] internal static class Tk2dTileMapPlayModeCleanup
Assets/Editor/AssetRipperPatches/Tk2dTileMapPlayModeCleanup.cs		Tk2dTileMapPlayModeCleanup	constructor_declaration	Tk2dTileMapPlayModeCleanup	7	10	static Tk2dTileMapPlayModeCleanup()
Assets/Editor/AssetRipperPatches/Tk2dTileMapPlayModeCleanup.cs		Tk2dTileMapPlayModeCleanup	method_declaration	OnPlayModeStateChanged	12	24	private static void OnPlayModeStateChanged(PlayModeStateChange state)
Assets/Editor/AssetRipperPatches/Tk2dTileMapPlayModeCleanup.cs		Tk2dTileMapPlayModeCleanup	method_declaration	ClearPersistentMeshReferences	26	56	private static void ClearPersistentMeshReferences(tk2dTileMap tileMap)
Assets/Editor/Filter/HierarchyFilter.cs			class_declaration	HierarchyFilter	12	127	public static class HierarchyFilter
Assets/Editor/Filter/HierarchyFilter.cs		HierarchyFilter	method_declaration	Matches	16	48	"[SceneQueryEngineFilter(""customfilter"", new[] { ""="" })] public static bool Matches(GameObject gameObject)"
Assets/Editor/Filter/HierarchyFilter.cs		HierarchyFilter	method_declaration	CreateColumns	52	64	public static SearchColumn[] CreateColumns()
Assets/Editor/Filter/HierarchyFilter.cs		HierarchyFilter	method_declaration	CreateColumn	66	70	private static SearchColumn CreateColumn(string title, string field, float width)
Assets/Editor/Filter/HierarchyFilter.cs		HierarchyFilter	method_declaration	InitializeColumn	74	103	"[SearchColumnProvider(""HierarchyFilter"")] public static void InitializeColumn(SearchColumn column)"
Assets/Editor/Filter/HierarchyFilter.cs		HierarchyFilter	method_declaration	OpenSearch	106	126	"[MenuItem(""Tools/Hierarchy Filter"")] public static void OpenSearch()"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools		class_declaration	Bone02ReadableSceneBuilder	21	1979	internal static class Bone02ReadableSceneBuilder
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	SourceScenePath	23	23	"private const string SourceScenePath = ""Assets/Scenes/Hornet/Bone_02.unity"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	TargetScenePath	24	24	"private const string TargetScenePath = ""Assets/Scenes/Hornet/Bone_02_Readable.unity"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	ReportPath	25	25	"private const string ReportPath = ""Docs/SceneResearch/Bone_02_Readable.md"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	CanonicalSourceSceneBasePath	26	26	"private const string CanonicalSourceSceneBasePath = ""Assets/Editor/GameResearch/__Bone_02_CanonicalValidation.unity"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	ArtRootName	27	27	"private const string ArtRootName = ""_00_ART"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	BackgroundGroup	29	29	"private const string BackgroundGroup = ""00_Background"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	MidgroundGroup	30	30	"private const string MidgroundGroup = ""10_Midground"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	ArchitectureGroup	31	31	"private const string ArchitectureGroup = ""20_Architecture"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	ForegroundGroup	32	32	"private const string ForegroundGroup = ""30_Foreground"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	FogGroup	33	33	"private const string FogGroup = ""40_Fog_Haze"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	MasksGroup	34	34	"private const string MasksGroup = ""50_Masks"";"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	VisualGroupNames	36	44	private static readonly string[] VisualGroupNames = { BackgroundGroup, MidgroundGroup, ArchitectureGroup, ForegroundGroup, FogGroup, MasksGroup, };
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	field_declaration	ConservedRootNames	46	55	"private static readonly string[] ConservedRootNames = { ""TileMap"", ""TileMap Render Data"", ""_SceneManager"", ""_Managers"", ""Music Control"", ""Black Thread States Thread Only Variant"", ""Rock Roller Scene"", };"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	BuildReadableCopyMenu	57	65	"[MenuItem(""Tools/Scene Research/Bone 02/Build Readable Copy"", priority = 100)] private static void BuildReadableCopyMenu()"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ReapplyVisualClassificationMenu	67	75	"[MenuItem(""Tools/Scene Research/Bone 02/Reapply Visual Classification"", priority = 101)] private static void ReapplyVisualClassificationMenu()"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateReadableCopyMenu	77	85	"[MenuItem(""Tools/Scene Research/Bone 02/Validate Readable Copy"", priority = 102)] private static void ValidateReadableCopyMenu()"
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	BuildReadableCopyBatch	88	91	public static void BuildReadableCopyBatch()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateReadableCopyBatch	94	97	public static void ValidateReadableCopyBatch()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	BuildReadableCopy	99	171	private static void BuildReadableCopy()
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GameResearch.EditorTools	Bone02ReadableSceneBuilder	method_declaration	ValidateReadableCopy	173	198	private static void ValidateReadableCopy()
