source	type_name	candidate_source_paths	identifier_occurrences
Assets/Editor/AssetRipperPatches/AudioMixerPostprocessor.cs	Type	"[""Assets/PlayMaker/Editor/PreUpdateChecker.cs"",""Assets/Scripts/Assembly-CSharp/TimeManager.cs"",""Assets/Scripts/ProjectCode/Game/11_Actors_Quests/MegaJellyZap.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dBatchedSprite.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteCollectionDefinition.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteCollectionSize.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteColliderDefinition.cs""]"	2
Assets/Editor/AssetRipperPatches/Tk2dTileMapPlayModeCleanup.cs	tk2dTileMap	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dTileMap.cs""]"	4
Assets/Editor/Filter/HierarchyFilter.cs	GetComponent	"[""Assets/PlayMaker/Actions/UnityObject/GetComponent.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Action	"[""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/AudioSnapshotRestore.cs"",""Assets/Scripts/Assembly-CSharp/HutongGames/PlayMaker/Actions/HeroInvulnerability.cs""]"	2
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Assert	"[""Assets/PlayMaker/Actions/Debug/Assert.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Bounds	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Actions/Bounds.cs""]"	2
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GetChild	"[""Assets/PlayMaker/Actions/GameObject/GetChild.cs""]"	2
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GetParent	"[""Assets/PlayMaker/Actions/GameObject/GetParent.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	GetProperty	"[""Assets/PlayMaker/Actions/UnityObject/GetProperty.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Key	"[""Assets/Scripts/ProjectCode/Game/02_Player/InputSystem/InputEnums.cs""]"	3
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Layer	"[""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dRuntime/TileMap/Layer.cs""]"	7
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Message	"[""Assets/Scripts/Assembly-CSharp/MemoryMsgBox.cs"",""Assets/Scripts/ProjectCode/TeamCherry/PS5/Message.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	MoveGameObjectToScene	"[""Assets/PlayMaker/Actions/SceneManager/MoveGameObjectToScene.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Owner	"[""Assets/Scripts/ThirdParty/HutongGames/PlayMaker/Ecosystem/Utils/Owner.cs""]"	4
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	SetParent	"[""Assets/PlayMaker/Actions/GameObject/SetParent.cs""]"	2
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Type	"[""Assets/PlayMaker/Editor/PreUpdateChecker.cs"",""Assets/Scripts/Assembly-CSharp/TimeManager.cs"",""Assets/Scripts/ProjectCode/Game/11_Actors_Quests/MegaJellyZap.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dBatchedSprite.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteCollectionDefinition.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteCollectionSize.cs"",""Assets/Scripts/TeamCherry/TeamCherry.TK2D/tk2dSpriteColliderDefinition.cs""]"	1
Assets/Editor/GameResearch/Bone02ReadableSceneBuilder.cs	Values	"[""Assets/Scripts/ProjectCode/Game/09_Platform_Input_Achievements/GamepadVibrationMixer.cs""]"	8
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	BeginSceneTransition	"[""Assets/Scripts/MixedIntegrations/PlayMakerActions/BeginSceneTransition.cs""]"	1
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	GameManager	"[""Assets/Scripts/ProjectCode/Game/01_Core/GameManager.cs""]"	12
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	GameState	"[""Assets/Scripts/ProjectCode/GlobalEnums/GameState.cs""]"	6
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	HeroController	"[""Assets/Scripts/ProjectCode/Game/02_Player/HeroController.cs""]"	7
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	Info	"[""Assets/Scripts/ProjectCode/Game/06_Data_Save_Progression/SaveRestoreHandler.cs""]"	9
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	MainMenuState	"[""Assets/Scripts/ProjectCode/GlobalEnums/MainMenuState.cs""]"	1
Assets/Editor/GameResearch/SceneReferenceTeleportWindow.cs	Message	"[""Assets/Scripts/Assembly-CSharp/MemoryMsgBox.cs"",""Assets/Scripts/ProjectCode/TeamCherry/PS5/Message.cs""]"	1
