source	component_id	owner_id	clip_index	clip_name	line	fps	wrap_mode	loop_start	frame_count	event_frames_zero_based	collection_guids
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	0	Hornet Desk Sit	48	12	2	0	6		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	1	Hornet Desk Stand	89	12	2	0	5		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	2	Hornet Lay Down	124	12	2	0	11		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	3	Hornet Sit Up	195	14	2	0	9		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	4	Hornet Lay Map Open	254	12	2	0	4		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1709254077376921	5	Hornet Lay Map Close	283	14	2	0	5		6c66f3986f22e9644af638d2ad7ce32f
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	0	Charge	48	12	1	3	6	3	3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	1	Charge End	89	12	2	0	2		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	2	Death Air	106	12	0	0	3		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	3	Idle	129	12	0	0	5		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	4	Roar	164	16	1	1	5		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	5	Turn	199	12	2	0	3		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	6	Walk	222	12	0	0	5		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	7	TurnToWalk	257	12	1	3	8		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	8	Walk Fast	310	20	0	0	5		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	9	Turn Fast	345	20	2	0	3		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	10	Roar End	368	12	2	1	4		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	11	Extract End	397	12	2	0	8		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	12	Rest	450	12	0	0	5		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1709254077376921	13	Rest To Roar	485	12	2	0	1		3e977f51de3b098479bb16f0bcdcf2ea
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	0	Idle	48	12	0	0	3		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	1	Emerge	71	12	1	3	7		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	2	Shoot	118	12	0	0	3		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	3	Die	141	12	2	0	5		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	4	Submerge	176	12	1	2	5		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	5	Recover	211	12	1	1	5		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1709254077376921	6	Death Air	246	12	0	0	3		f27a76df1a9e7b441ad0ecca2a3b3ff9
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	0	Dash 1	48	20	1	2	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	1	Dash 2	77	20	1	2	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	2	Catch Spin	106	18	0	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	3	Catch Spin End	135	15	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	4	Dash End	158	15	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	5	Drop Look	181	15	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	6	Drop Slash	204	18	2	0	4	1|2|3	ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	7	Idle 1	233	12	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	8	Idle 2	256	12	2	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	9	Idle 3	285	15	2	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	10	Idle 4	314	20	2	0	8		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	11	Idle 5	367	15	2	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	12	Idle 6	396	20	2	0	9		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	13	Idle 7	455	20	2	0	8		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	14	Jump	508	30	0	0	1		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	15	Jump End	519	15	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	16	Roar	542	12	2	0	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	17	Rest	565	30	6	0	1		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	18	Spin	576	15	0	0	5		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	19	Stun Fall	611	30	6	0	1		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	20	Stun Land	622	12	1	1	3		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	21	Stun Stagger	645	12	0	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	22	Tele In	662	15	2	0	6		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	23	Tele In Q	703	20	2	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	24	Tele Out	732	20	2	0	4		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	25	Look 1	761	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	26	Look 2	778	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
Assets/Animations/Bosses/Clover Dancers Anim.prefab	114724804207875695	1709254077376921	27	Look 3	795	12	2	0	2		ee5aec6fc62ba574aafb669716f98aed
