source	component_id	clip_index	clip_name	frame_index	collection_guid	collection_file_id	sprite_id	trigger_event	event_info	event_int	event_float
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	1	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	2	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	4	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	5	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	4	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	0	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	0	Hornet Desk Sit	5	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	3	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1	Hornet Desk Stand	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	0	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1	Hornet Desk Stand	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	5	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1	Hornet Desk Stand	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	4	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1	Hornet Desk Stand	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	2	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	1	Hornet Desk Stand	4	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	1	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	6	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	7	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	8	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	9	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	4	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	10	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	5	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	11	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	6	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	12	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	7	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	13	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	8	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	14	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	9	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	15	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	2	Hornet Lay Down	10	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	16	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	14	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	13	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	12	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	11	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	4	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	10	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	5	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	9	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	6	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	8	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	7	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	7	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	3	Hornet Sit Up	8	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	6	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	4	Hornet Lay Map Open	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	17	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	4	Hornet Lay Map Open	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	18	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	4	Hornet Lay Map Open	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	19	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	4	Hornet Lay Map Open	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	20	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	5	Hornet Lay Map Close	0	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	20	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	5	Hornet Lay Map Close	1	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	19	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	5	Hornet Lay Map Close	2	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	18	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	5	Hornet Lay Map Close	3	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	17	0		0	0
Assets/Animations/Belltown House Anim.prefab	114724804207875695	5	Hornet Lay Map Close	4	6c66f3986f22e9644af638d2ad7ce32f	114724804207875695	16	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	29	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	0	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	1	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	2	1		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	3	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	0	Charge	5	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	4	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1	Charge End	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	0	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	1	Charge End	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	29	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	2	Death Air	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	7	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	2	Death Air	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	5	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	2	Death Air	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	6	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	3	Idle	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	11	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	3	Idle	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	12	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	3	Idle	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	8	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	3	Idle	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	9	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	3	Idle	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	10	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	4	Roar	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	32	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	4	Roar	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	13	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	4	Roar	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	15	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	4	Roar	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	16	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	4	Roar	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	14	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	5	Turn	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	21	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	5	Turn	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	22	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	5	Turn	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	23	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	6	Walk	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	25	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	6	Walk	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	26	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	6	Walk	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	27	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	6	Walk	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	28	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	6	Walk	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	24	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	21	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	22	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	23	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	25	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	26	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	5	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	27	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	6	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	28	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	7	TurnToWalk	7	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	24	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	8	Walk Fast	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	25	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	8	Walk Fast	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	26	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	8	Walk Fast	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	27	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	8	Walk Fast	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	28	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	8	Walk Fast	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	24	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	9	Turn Fast	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	21	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	9	Turn Fast	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	22	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	9	Turn Fast	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	23	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	10	Roar End	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	29	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	10	Roar End	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	11	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	10	Roar End	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	12	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	10	Roar End	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	8	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	7	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	5	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	6	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	0	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	29	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	5	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	8	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	6	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	9	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	11	Extract End	7	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	10	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	12	Rest	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	17	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	12	Rest	1	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	18	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	12	Rest	2	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	19	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	12	Rest	3	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	20	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	12	Rest	4	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	30	0		0	0
Assets/Animations/Blue Assistant Anim.prefab	114724804207875695	13	Rest To Roar	0	3e977f51de3b098479bb16f0bcdcf2ea	114724804207875695	31	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	0	Idle	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	16	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	0	Idle	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	9	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	0	Idle	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	5	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	17	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	8	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	1	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	3	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	14	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	4	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	6	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	5	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	15	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	1	Emerge	6	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	11	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	2	Shoot	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	10	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	2	Shoot	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	0	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	2	Shoot	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	4	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	3	Die	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	2	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	3	Die	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	13	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	3	Die	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	3	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	3	Die	3	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	7	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	3	Die	4	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	12	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	4	Submerge	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	8	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	4	Submerge	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	17	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	4	Submerge	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	16	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	4	Submerge	3	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	9	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	4	Submerge	4	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	5	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	5	Recover	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	1	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	5	Recover	1	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	14	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	5	Recover	2	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	6	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	5	Recover	3	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	15	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	5	Recover	4	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	11	0		0	0
Assets/Animations/Bone Worm BlueTurret Anim.prefab	114724804207875695	6	Death Air	0	f27a76df1a9e7b441ad0ecca2a3b3ff9	114724804207875695	10	0		0	0
